RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
LIGHTDOC_1_LIGHTNINGDGEO,LIGHTDOC_1_LIGHTNINGDGEO,LIGHTDOC_1_LIGHTNINGDGEOGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
PIUTE_6_GNBSR1,PIUTE_6_GNBSR1,PIUTE12_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
TURNBULL_6_TRNB,TURNBULL_6_TRNB,TURNBULL_6_TRNBGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
WP_2_WPCC2,WP_2_WPCC2,WP_GNODEWPCC2,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BARRE_2_QF,BARRE_2_QF,BARRE_2_N043,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
COMMERCE_7_UNIT 1,COMMERCE_7_UNIT 1,COMMERCE_GNODE1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
TEC_2_PV_UNIT,TEC_2_PV_UNIT,TEC_GNODEPV,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
WALNUT_6_HILLGEN,WALNUT_6_HILLGEN,HILLGEN_7_B1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
OC_2_OCGT4,OC_2_OCGT4,OC_GNODEGT4,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
DELAMO_2_SOLRC1,DELAMO_2_SOLRC1,DELAMO_2_N051,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HIGHDS_2_H5SSR1,HIGHDS_2_H5SSR1,HI5PV_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
JBRG_3_G002,JBRG_3_G002,JBRG_IPC_GNODERE2,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
FD4_1_GEN4,FD4_1_GEN4,FD4_GNODEGEN4,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HM_1_HYDRO1,HM_1_HYDRO1,HM_1_HYDRO1GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
RNDSBG_1_HZASR1,RNDSBG_1_HZASR1,RANDSBG_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
WSNR_CTW230_I_AS_CERT01,WSNR_CTW230_I_AS_CERT01,CAPTJACK_5_N510,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SBERDO_2_SNTANA,SBERDO_2_SNTANA,SANBRDNO_6_N007,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BKCN_7_TOT_GEN,BKCN_7_TOT_GEN,BKCN_GNODEG01,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
